Song Name , Artists , Album , Image_Info , Times Played
After Hours , The Weeknd , After Hours (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640} ",2
Party Monster , The Weeknd , Starboy  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640} ",2
Love In The Sky , The Weeknd , Kiss Land  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4860d5331509e2c9ee4de10', 'width': 640} ",2
Trance (with Travis Scott & Young Thug) ," Metro Boomin, Travis Scott, Young Thug ", HEROES & VILLAINS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640} ",2
Flocky Flocky (feat. Travis Scott) ," Don Toliver, Travis Scott ", Life of a DON  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d', 'width': 640} ",2
Love Hurts (feat. Travis Scott) ," Playboi Carti, Travis Scott ", Die Lit  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194', 'width': 640} ",2
Cigarette Daydreams , Cage The Elephant , Melophobia  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12', 'width': 640} ",2
Zombies , Travis Scott , DAYS BEFORE RODEO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640} ",2
STARS ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 1  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640} ",2
Hardest To Love , The Weeknd , After Hours (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640} ",1
Timeless (with Playboi Carti) ," The Weeknd, Playboi Carti ", Timeless  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4', 'width': 640} ",1
Live While We're Young , One Direction , Take Me Home (Expanded Edition)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf', 'width': 640} ",1
Pompeii , Bastille , Bad Blood  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273258225089decfb3d5c3718d3', 'width': 640} ",1
Moves Like Jagger ," Studio Recording From ""The Voice"" Performance - Maroon 5, Christina Aguilera ", Hands All Over  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ce70cb2d7063cf869f9f1239', 'width': 640} ",1
Firework , Katy Perry , Teenage Dream  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888', 'width': 640} ",1
Love Yourself , Justin Bieber , Purpose (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de', 'width': 640} ",1
How Deep Is Your Love ," Calvin Harris, Disciples ", How Deep Is Your Love  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f4956c3ceefc6fa1cffc6da6', 'width': 640} ",1
Super Bass , Nicki Minaj , Pink Friday (Complete Edition)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273aa7d2641af0fa4c1f76fafbf', 'width': 640} ",1
heart pt. 6 , Kendrick Lamar , GNX  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58', 'width': 640} ",1
Die With A Smile ," Lady Gaga, Bruno Mars ", Die With A Smile  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45', 'width': 640} ",1
She Don't Like The Lights , Justin Bieber , Believe (Deluxe Edition)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39', 'width': 640} ",1
Dusk Till Dawn (feat. Sia) ," Radio Edit - ZAYN, Sia ", Icarus Falls  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27373fb56438ea764d64b2fdac7', 'width': 640} ",1
Wu-Tang Forever , Drake , Nothing Was The Same  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d', 'width': 640} ",1
Deuces Remix (feat. Drake & Kanye West) ," Chris Brown, Drake, Kanye West ", Deuces Remix  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734d89619547a31b9e2f11df75', 'width': 640} ",1
BROTHER STONE (FEAT. KODAK BLACK) ," Don Toliver, Kodak Black ", HARDSTONE PSYCHO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5', 'width': 640} ",1
Can't Feel My Legs , Don Toliver , Heaven Or Hell  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640} ",1
LOVE IS A DRUG , Don Toliver , HARDSTONE PSYCHO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27387b5126aa892756d9a50faa4', 'width': 640} ",1
Heaven or Hell , Don Toliver , Heaven Or Hell  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640} ",1
No Regrets (feat. Don Toliver) ," Eminem, Don Toliver ", Music To Be Murdered By - Side B (Deluxe Edition)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b84b0516d901f95461bb5165', 'width': 640} ",1
PURPLE HEART (w/ Don Toliver) ," Odetari, Don Toliver ", DOOR TO DUSK  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27399cf928a0bc891cdf194efe6', 'width': 640} ",1
Company Pt 2 , Don Toliver , Life of a DON  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d', 'width': 640} ",1
After Party , Don Toliver , Heaven Or Hell  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640} ",1
Do It Right , Don Toliver , Love Sick (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577', 'width': 640} ",1
Around Me (feat. Don Toliver) ," Metro Boomin, Don Toliver ", HEROES & VILLAINS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640} ",1
Too Many Nights (feat. Don Toliver & with Future) ," Metro Boomin, Future, Don Toliver ", HEROES & VILLAINS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640} ",1
I Can't Save You (Interlude) [with Future & feat. Don Toliver] ," Metro Boomin, Future, Don Toliver ", HEROES & VILLAINS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640} ",1
Cardigan , Don Toliver , Heaven Or Hell  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c', 'width': 640} ",1
the ends , Travis Scott , Birds In The Trap Sing McKnight  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce', 'width': 640} ",1
TELEKINESIS (feat. SZA & Future) ," Travis Scott, SZA, Future ", UTOPIA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640} ",1
SKELETONS , Travis Scott , ASTROWORLD  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640} ",1
K-POP (feat. Bad Bunny & The Weeknd) ," Travis Scott, Bad Bunny, The Weeknd ", UTOPIA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640} ",1
BACC (Bonus) , Travis Scott , DAYS BEFORE RODEO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640} ",1
Backyard , Travis Scott , DAYS BEFORE RODEO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640} ",1
ICE AGE (FEAT. TRAVIS SCOTT) ," Don Toliver, Travis Scott ", HARDSTONE PSYCHO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5', 'width': 640} ",1
Impossible , Travis Scott , Rodeo  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160', 'width': 640} ",1
CAN'T SAY , Travis Scott , ASTROWORLD  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640} ",1
