Song Name , Artists , Album , Image_Info , Times Played
Antidote , Travis Scott , Rodeo  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736cfd9a7353f98f5165ea6160', 'width': 640} ",1
Dreamcatcher (feat. Swae Lee & Travis Scott) ," Metro Boomin, Swae Lee, Travis Scott ", NOT ALL HEROES WEAR CAPES (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732887f8c05b5a9f1cb105be29', 'width': 640} ",1
WHO? WHAT! , Travis Scott , ASTROWORLD  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640} ",1
Basement Freestyle , Travis Scott , DAYS BEFORE RODEO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640} ",1
Cinderella ," Future, Metro Boomin, Travis Scott ", WE DON'T TRUST YOU  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8', 'width': 640} ",1
HYAENA , Travis Scott , UTOPIA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640} ",1
NO BYSTANDERS , Travis Scott , ASTROWORLD  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640} ",1
wonderful , Travis Scott , Birds In The Trap Sing McKnight  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce', 'width': 640} ",1
Days Before Rodeo: The Prayer , Travis Scott , DAYS BEFORE RODEO  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640} ",1
OUT WEST (feat. Young Thug) ," JACKBOYS, Travis Scott, Young Thug ", JACKBOYS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f', 'width': 640} ",1
ESCAPE PLAN , Travis Scott , ESCAPE PLAN / MAFIA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eba68473429f9f4eaf1943d0', 'width': 640} ",1
STOP TRYING TO BE GOD , Travis Scott , ASTROWORLD  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640} ",1
CARNIVAL ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 1  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640} ",1
KEYS TO MY LIFE ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 1  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640} ",1
BURN ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 1  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640} ",1
KING ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 1  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640} ",1
BOMB ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 2  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640} ",1
FIELD TRIP ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 2  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640} ",1
SLIDE ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 2  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640} ",1
SKY CITY ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 2  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640} ",1
